number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
23,0.5449511950215477,2026-06-12 14:34:05.195823,2026-06-12 14:34:06.886743,0 days 00:00:01.690920,0.9206304854151375,0.06952931218421486,8,103,33,0.04521926898954823,3.5344310185069303,0.9312404495902852,0.10808604936658739,COMPLETE
24,0.5438576780014384,2026-06-12 14:34:06.886810,2026-06-12 14:34:08.133345,0 days 00:00:01.246535,0.6829520531339962,0.06117175663300706,5,149,18,0.6745944595227937,0.47025725664703044,0.931323588421291,0.12044140841978464,COMPLETE
25,0.5316814996459482,2026-06-12 14:34:08.133408,2026-06-12 14:34:10.322643,0 days 00:00:02.189235,0.9488115892284986,0.04056980590552495,8,70,15,0.24617140791069653,9.946126450457445,0.7625652605564912,0.09666258686645492,COMPLETE
26,0.5461585216528884,2026-06-12 14:34:10.322708,2026-06-12 14:34:12.635316,0 days 00:00:02.312608,0.950902482892555,0.03926424697124979,8,70,23,3.026530787843916,1.464604807187712,0.6446029227656589,0.10586175878281066,COMPLETE
27,0.5624782736068699,2026-06-12 14:34:12.635373,2026-06-12 14:34:17.153723,0 days 00:00:04.518350,0.581680045115668,0.020299602308127777,9,45,35,0.20717819503116752,0.35421374483928286,0.790861863418193,0.10559212717208413,COMPLETE
28,0.545987711193054,2026-06-12 14:34:17.153775,2026-06-12 14:34:19.089465,0 days 00:00:01.935690,0.8083321738074262,0.08279336254141599,9,76,54,0.04426499052528784,0.14624638767088172,0.8325873147129732,0.09545078954802672,COMPLETE
29,0.5429677472357592,2026-06-12 14:34:19.089524,2026-06-12 14:34:22.475548,0 days 00:00:03.386024,0.9675752995097668,0.022156567531845205,7,56,81,0.004563571019163562,3.209009352414298,0.5597049780411142,0.09939919283597076,COMPLETE
30,0.5599587822284874,2026-06-12 14:34:22.475604,2026-06-12 14:34:25.724769,0 days 00:00:03.249165,0.9000768476838134,0.03944603696287577,10,42,49,0.0014824522730226873,0.975156893081246,0.624616957532738,0.1074481851527138,COMPLETE
31,0.5423989202585706,2026-06-12 14:34:25.724830,2026-06-12 14:34:27.806960,0 days 00:00:02.082130,0.8456295003475194,0.052372468389147345,6,116,15,0.3295201425024663,5.018369069320386,0.9006214235141505,0.11041365281110749,COMPLETE
32,0.5485051584211345,2026-06-12 14:34:27.807027,2026-06-12 14:34:30.138330,0 days 00:00:02.331303,0.95261427936366,0.07937372968068326,7,63,18,1.148015310108931,9.563005360961002,0.7544888692310874,0.10001721415829745,COMPLETE
33,0.5443363749055532,2026-06-12 14:34:30.138394,2026-06-12 14:34:32.128073,0 days 00:00:01.989679,0.7780606737824202,0.034935372634224034,8,127,26,0.09658999634755211,3.0729278764513306,0.8477032058305904,0.1139997018591624,COMPLETE
34,0.5406330554768176,2026-06-12 14:34:32.128130,2026-06-12 14:34:33.598361,0 days 00:00:01.470231,0.7150017047285836,0.05658672399641019,5,94,18,0.537865427515189,5.736399921668414,0.6876003981481447,0.11622125078601375,COMPLETE
35,0.5405620974848404,2026-06-12 14:34:33.598415,2026-06-12 14:34:35.010833,0 days 00:00:01.412418,0.7006413439197203,0.047095978609805515,4,87,21,0.44863321848636756,1.3134299563721001,0.6754025603262384,0.11651883982686322,COMPLETE
36,0.5486920092412884,2026-06-12 14:34:35.010891,2026-06-12 14:34:38.027545,0 days 00:00:03.016654,0.7091201933870568,0.01617804386034657,4,53,21,0.5982456993301957,5.405105956294258,0.6822267904881254,0.10129765395536715,COMPLETE
37,0.5466229476554437,2026-06-12 14:34:38.027602,2026-06-12 14:34:39.545551,0 days 00:00:01.517949,0.6101511322052702,0.04559967199245574,4,87,27,0.005874957066385843,1.1830097418431307,0.6078495692607643,0.12264299691661502,COMPLETE
38,0.5688419291326418,2026-06-12 14:34:39.545607,2026-06-12 14:34:41.375567,0 days 00:00:01.829960,0.30186757289409694,0.027504157263202125,3,66,22,0.17002271123448978,2.6548190634508524,0.7245875212882122,0.11454797446936955,COMPLETE
39,0.5814100462003557,2026-06-12 14:34:41.375633,2026-06-12 14:34:43.805348,0 days 00:00:02.429715,0.44256400883000413,0.03369218856237191,5,35,36,0.3477328469122968,0.02436806705604995,0.6763296463255464,0.12224436759645352,COMPLETE
40,0.5483996450226868,2026-06-12 14:34:43.805402,2026-06-12 14:34:45.416888,0 days 00:00:01.611486,0.510706603558179,0.055913107985296175,11,79,18,0.04215205243759054,0.0922591079998185,0.6619517419899361,0.10900159930733432,COMPLETE
41,0.5421326531615224,2026-06-12 14:34:45.416948,2026-06-12 14:34:47.477933,0 days 00:00:02.060985,0.7127523593837306,0.04451376060547784,5,93,17,0.9718041670935226,2.4431085829937156,0.7875370237173794,0.11105016844436356,COMPLETE
42,0.5491630707447388,2026-06-12 14:34:47.477995,2026-06-12 14:34:48.926105,0 days 00:00:01.448110,0.6593077246970691,0.06015301414753143,4,83,24,0.6221260235522408,5.6884817726070205,0.5947859557701629,0.11847356844707625,COMPLETE
43,0.5425200449699299,2026-06-12 14:34:48.926161,2026-06-12 14:34:50.671159,0 days 00:00:01.744998,0.7837255807014867,0.04930498742717685,6,112,19,1.7095123353342068,0.46517669524451766,0.725957346392062,0.11269112984362123,COMPLETE
44,0.6095721549843256,2026-06-12 14:34:50.671211,2026-06-12 14:34:52.665448,0 days 00:00:01.994237,0.7130539930357594,0.09923781306765046,7,15,15,0.22692298890534268,1.13974828094082,0.5007250058963768,0.14813106766521467,COMPLETE
45,0.5414079527671103,2026-06-12 14:34:52.665505,2026-06-12 14:34:54.090540,0 days 00:00:01.425035,0.6330180519137026,0.024335101719210828,3,148,27,0.12875461992831874,3.274588914936504,0.769401038519402,0.1280813487025828,COMPLETE
46,0.5313615607645719,2026-06-12 14:34:54.090596,2026-06-12 14:34:55.854467,0 days 00:00:01.763871,0.9807983923171678,0.036953386158965734,4,72,22,0.39081281257449735,4.059932692324546,0.8129489216845408,0.09497210669105245,COMPLETE
47,0.5425063008527695,2026-06-12 14:34:55.854520,2026-06-12 14:34:59.689265,0 days 00:00:03.834745,0.979874608376142,0.00946053101075715,4,73,29,0.4248509068762586,5.423909878912484,0.7093949555116785,0.10630701190586116,COMPLETE
48,0.5341631742810831,2026-06-12 14:34:59.689320,2026-06-12 14:35:01.692140,0 days 00:00:02.002820,0.9255749963779205,0.03128444219607499,3,60,174,0.05840214432980765,9.941595564587967,0.8159584413712809,0.1008029680404125,COMPLETE
49,0.5470472916359077,2026-06-12 14:35:01.692201,2026-06-12 14:35:03.493492,0 days 00:00:01.801291,0.9254042225844115,0.03111433139627315,3,49,187,0.021079311893819973,4.012490702996077,0.8188907265795831,0.1065627690015273,COMPLETE
50,0.5390698692600814,2026-06-12 14:35:03.493557,2026-06-12 14:35:05.357038,0 days 00:00:01.863481,0.9084297039046098,0.026953359540061644,3,60,247,0.06255654510311545,8.789469055110587,0.8028347136773643,0.09973210469215832,COMPLETE
51,0.5356433884276555,2026-06-12 14:35:05.357093,2026-06-12 14:35:07.187393,0 days 00:00:01.830300,0.9986733029717711,0.036057401568553506,3,60,248,0.011435599532481177,9.818902009824194,0.8045746102146235,0.0999130270771621,COMPLETE
52,0.5394661778907304,2026-06-12 14:35:07.187446,2026-06-12 14:35:09.181902,0 days 00:00:01.994456,0.9965779280973025,0.02520358620846225,3,60,255,0.00870726922889542,9.811724609137508,0.7785912600651115,0.0950165543642724,COMPLETE
53,0.5378649910453316,2026-06-12 14:35:09.181963,2026-06-12 14:35:11.186648,0 days 00:00:02.004685,0.9078672120954903,0.02410032921781863,3,59,255,0.011188690107529839,9.216694396772935,0.8028374929239341,0.1013284204360144,COMPLETE
54,0.5531110969541879,2026-06-12 14:35:11.186698,2026-06-12 14:35:13.690396,0 days 00:00:02.503698,0.9013212761905199,0.01592479446281186,3,38,190,0.010152909723934012,6.914496525828487,0.8144026081574468,0.1117118612239703,COMPLETE
55,0.5453802767337083,2026-06-12 14:35:13.690448,2026-06-12 14:35:16.198248,0 days 00:00:02.507800,0.9404541093777499,0.017456235551717676,3,51,251,0.0035739415795097086,9.918907034268694,0.8053728845274236,0.10784547641323441,COMPLETE
56,0.5565001631308626,2026-06-12 14:35:16.198313,2026-06-12 14:35:18.658150,0 days 00:00:02.459837,0.8663186048189127,0.02284158124113653,4,45,143,0.02987207109608241,7.042547062355177,0.847509246756885,0.10876505535679094,COMPLETE
57,0.5375926127163618,2026-06-12 14:35:18.658206,2026-06-12 14:35:21.218764,0 days 00:00:02.560558,0.9007817742247358,0.01361327673037308,3,69,182,0.06414605950736699,4.290022245336174,0.7647940265960587,0.09980976091989381,COMPLETE
58,0.5378716188811392,2026-06-12 14:35:21.218818,2026-06-12 14:35:23.742804,0 days 00:00:02.523986,0.9684078167888233,0.01341505707322031,3,68,105,0.0027684124887022094,4.3964311737020445,0.7692407784594613,0.09822681443881306,COMPLETE
59,0.5449090605358731,2026-06-12 14:35:23.742857,2026-06-12 14:35:27.814510,0 days 00:00:04.071653,0.8747644216003733,0.007748120313936887,3,54,203,0.016549730389213604,2.054973611414704,0.7421530825467714,0.10154736665409235,COMPLETE
