number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
58,0.43674649131429566,2026-06-12 14:19:17.076655,2026-06-12 14:19:19.426588,0 days 00:00:02.349933,0.6525855183349201,0.03668517188226683,10,30,244,8.580017327530888,0.0022547424884997985,0.9292024944235046,0.04376004755279929,COMPLETE
59,0.438605920533925,2026-06-12 14:19:19.426639,2026-06-12 14:19:22.333290,0 days 00:00:02.906651,0.5980491304097117,0.07534658649708208,11,17,148,3.0519089575061393,0.04834035987332926,0.8933355288928735,0.04267232805585671,COMPLETE
60,0.43640055687203655,2026-06-12 14:19:22.333345,2026-06-12 14:19:24.937334,0 days 00:00:02.603989,0.703025178449452,0.047101625495628664,11,25,196,9.98981221943385,0.009353606045639201,0.9746694672522831,0.04332016798484072,COMPLETE
61,0.4360848253288516,2026-06-12 14:19:24.937385,2026-06-12 14:19:27.807464,0 days 00:00:02.870079,0.7553748771376716,0.031539387689958696,11,29,171,4.9391719115255155,0.031408490688842806,0.9417646678867744,0.0427661747121702,COMPLETE
62,0.4359955235127432,2026-06-12 14:19:27.807512,2026-06-12 14:19:30.614044,0 days 00:00:02.806532,0.7448209646586438,0.03759924689658525,11,28,173,4.866274430319349,0.03081277114017565,0.9416170295150067,0.04389494135209176,COMPLETE
63,0.43672446575137885,2026-06-12 14:19:30.614092,2026-06-12 14:19:32.913652,0 days 00:00:02.299560,0.6866604847551433,0.052931534601771524,10,39,168,4.209918059404847,0.02611867284903772,0.9433794186621957,0.0430411584529142,COMPLETE
64,0.4363614033088695,2026-06-12 14:19:32.913699,2026-06-12 14:19:35.353570,0 days 00:00:02.439871,0.7335663272643307,0.04439439281798629,11,28,125,5.646889898110804,0.0155172693907918,0.9784119460702023,0.042624329120263926,COMPLETE
65,0.437484450943884,2026-06-12 14:19:35.353626,2026-06-12 14:19:39.378835,0 days 00:00:04.025209,0.7327799527192157,0.030681375514367983,10,21,211,2.729241025661294,0.03655463888367543,0.9989516455010892,0.04279678540904518,COMPLETE
66,0.4367796216104596,2026-06-12 14:19:39.378888,2026-06-12 14:19:42.413127,0 days 00:00:03.034239,0.7641918362340852,0.023138640886932262,11,35,96,1.411602129694967,0.03739688267261871,0.9378246259796184,0.043182099859741016,COMPLETE
67,0.4367737145186442,2026-06-12 14:19:42.413177,2026-06-12 14:19:44.796971,0 days 00:00:02.383794,0.7632130195259456,0.02800532649718924,9,33,169,7.1228268034623765,0.07808779390150074,0.8657456371580414,0.04322291226337297,COMPLETE
68,0.4355959438610505,2026-06-12 14:19:44.797025,2026-06-12 14:19:46.996842,0 days 00:00:02.199817,0.6843680738782086,0.03515751393312036,10,41,193,4.037524920772175,0.1079037537426822,0.913856130500778,0.04281679916456918,COMPLETE
