number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
28,0.6009852169896946,2026-06-12 14:45:49.344532,2026-06-12 14:46:08.443603,0 days 00:00:19.099071,0.6355425535727139,0.07882940147673259,9,36.71336876221018,4.789815139191508,0.0017163794364652323,0.9298511164779877,0.14059106378941502,COMPLETE
29,0.5978980431711287,2026-06-12 14:46:08.443682,2026-06-12 14:46:35.208983,0 days 00:00:26.765301,0.6932856047760588,0.031933828022506064,10,18.72262047672457,0.3265709031207655,0.001786808366525927,0.5714309196832419,0.1259653943496063,COMPLETE
30,0.6803654840928698,2026-06-12 14:46:35.209055,2026-06-12 18:20:43.177014,0 days 03:34:07.967959,0.9020285980544602,0.05277405404976671,7,5.834994717508906,0.05356915080283586,0.0036566493051491474,0.5004660445502178,0.17079596611015313,COMPLETE
31,0.5433108785818033,2026-06-12 18:20:43.177094,2026-06-12 18:20:59.699655,0 days 00:00:16.522561,0.7881019667785241,0.080645913375796,9,48.266001909695404,3.0414822261073104,0.011242004898356833,0.5479804546526091,0.10673077628364026,COMPLETE
32,0.5669394293711838,2026-06-12 18:20:59.699753,2026-06-12 18:21:16.566440,0 days 00:00:16.866687,0.7791694205390814,0.0820899278080817,8,39.39138310179316,2.024107582784979,0.03082922529751269,0.5295716509674251,0.09641225666621955,COMPLETE
33,0.5718013554966513,2026-06-12 18:21:16.566522,2026-06-12 18:21:47.087919,0 days 00:00:30.521397,0.9625793644711146,0.06409681912914578,9,27.44780819974154,3.779949400201747,0.008421729410703908,0.609968226742971,0.11315424944313146,COMPLETE
34,0.5450800762821213,2026-06-12 18:21:47.088024,2026-06-12 18:21:58.867254,0 days 00:00:11.779230,0.8197313064753704,0.08557448776295459,7,47.457995410231895,1.7986778324447286,0.004813343230421689,0.52369237507161,0.10058904717795746,COMPLETE
35,0.5616438965987218,2026-06-12 18:21:58.867326,2026-06-12 18:22:15.165992,0 days 00:00:16.298666,0.7201688153259702,0.06496904847126626,8,38.11261794927482,5.2268369680098665,0.7386210901079595,0.5774026522200802,0.1126192268812808,COMPLETE
36,0.6495030379228808,2026-06-12 18:22:15.166063,2026-06-12 18:22:42.878025,0 days 00:00:27.711962,0.7779762397094138,0.08762820350254744,10,15.990289881423877,2.752019832948225,0.0012580528857493694,0.7567578866733125,0.1642659850084594,COMPLETE
37,0.5816656775066618,2026-06-12 18:22:42.878135,2026-06-12 18:22:59.728695,0 days 00:00:16.850560,0.6085532316789951,0.07012092465062929,9,31.306133918870863,5.9645941793039094,0.07056037663162265,0.6257619076994232,0.12129345578825172,COMPLETE
38,0.6343836096605887,2026-06-12 18:22:59.728811,2026-06-12 18:23:16.976081,0 days 00:00:17.247270,0.3163712751769256,0.05043955756728764,8,24.97856499772849,0.6870869677801066,0.011279967716265903,0.5575669522186528,0.14178995553535,COMPLETE
39,0.5914641016867204,2026-06-12 18:23:16.976177,2026-06-12 18:23:31.180267,0 days 00:00:14.204090,0.8335247824785814,0.09957187587397115,6,18.695739188344685,1.564908622227439,0.26055754160480044,0.5249591368719242,0.12054655907985129,COMPLETE
40,0.566985895503289,2026-06-12 18:23:31.180345,2026-06-12 18:23:51.445678,0 days 00:00:20.265333,0.5644888181030514,0.03500106284598369,7,41.67171145235865,6.658065946004506,0.0031911495275132695,0.6944049140087466,0.12200832428617053,COMPLETE
41,0.5486382232657449,2026-06-12 18:23:51.445751,2026-06-12 18:24:04.288525,0 days 00:00:12.842774,0.7950888661802761,0.07896183871135562,9,48.72954090566824,3.193114152268999,0.011366404221331035,0.5484115546855832,0.10148181528324773,COMPLETE
42,0.5598271989214392,2026-06-12 18:24:04.288599,2026-06-12 18:24:18.044071,0 days 00:00:13.755472,0.8907025241094628,0.08270163760843081,10,38.292262181505656,0.0010248772316972675,0.02495128366973459,0.5878214303503734,0.10723457172938737,COMPLETE
43,0.560163300036613,2026-06-12 18:24:18.044155,2026-06-12 18:24:34.274719,0 days 00:00:16.230564,0.7636753316240581,0.06098718935209778,9,31.406528893757613,3.1268760887793516,0.013491426190686115,0.502338136926462,0.10934640370259965,COMPLETE
44,0.5430928699874145,2026-06-12 18:24:34.274839,2026-06-12 18:24:46.628581,0 days 00:00:12.353742,0.9990486527915003,0.08408584060757085,8,48.30583106325494,4.7226903096296144,0.006641107790413835,0.5365031072178629,0.09589057156862889,COMPLETE
