number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
36,0.4362728306613963,2026-06-12 14:26:15.314322,2026-06-12 14:26:19.563576,0 days 00:00:04.249254,0.34996211604635596,0.06202017905274167,5,37.25026513384306,0.3413545936551389,0.17770009575202367,0.5963837635495047,0.04292420151096954,COMPLETE
37,0.43768262730729335,2026-06-12 14:26:19.563629,2026-06-12 14:26:25.730617,0 days 00:00:06.166988,0.8362245384191125,0.08069654585223418,6,17.25812876372591,0.7368217847151107,0.011788835841035565,0.5275349543975157,0.043757168568629386,COMPLETE
38,0.4378264554235682,2026-06-12 14:26:25.730669,2026-06-12 14:26:41.471741,0 days 00:00:15.741072,0.9523248317120949,0.032212792938592014,10,9.850672852444841,0.20826962262429738,0.08403791607653802,0.6227579789902475,0.041863813407665214,COMPLETE
39,0.439539934927045,2026-06-12 14:26:41.471797,2026-06-12 14:26:57.323099,0 days 00:00:15.851302,0.6905033663490011,0.00963898534099741,8,3.148560536633166,0.03395608874310284,0.004190661629856907,0.8004492118250909,0.04164400611253709,COMPLETE
40,0.4379817289059864,2026-06-12 14:26:57.323152,2026-06-12 14:27:08.489749,0 days 00:00:11.166597,0.47046018813514034,0.047986423760937855,9,7.269914207460462,6.190238474596345,0.03624807973227003,0.5743521810370981,0.042965357742478005,COMPLETE
41,0.4353682056856603,2026-06-12 14:27:08.489808,2026-06-12 14:27:15.625126,0 days 00:00:07.135318,0.994369525754274,0.03463677191429444,8,29.819635996002347,0.7531016327435782,0.021227186234532958,0.5325965609939705,0.04331430555429716,COMPLETE
42,0.4366587054526863,2026-06-12 14:27:15.625185,2026-06-12 14:27:21.322421,0 days 00:00:05.697236,0.9737246614598847,0.03862985724150345,7,41.61024998241826,2.204114020394856,0.023992578945256936,0.5328138554444939,0.043011736160680034,COMPLETE
43,0.4355585234731529,2026-06-12 14:27:21.322481,2026-06-12 14:27:28.771967,0 days 00:00:07.449486,0.9229956073762915,0.026413698410366247,8,31.35884645839432,1.0851537479069369,0.130284226012202,0.5601714989351141,0.04223688420448926,COMPLETE
44,0.43690695915017275,2026-06-12 14:27:28.772023,2026-06-12 14:27:35.607914,0 days 00:00:06.835891,0.9182573321668752,0.026455680677047087,8,33.26281123425779,0.14366142617352173,0.13423228170545526,0.5044245785929722,0.04255321537270238,COMPLETE
45,0.4370433841559869,2026-06-12 14:27:35.607966,2026-06-12 14:27:51.162576,0 days 00:00:15.554610,0.935497935225225,0.021511370991773894,7,1.6527464600552992,4.233661315757243,0.2700369615624506,0.6644094880923849,0.04326898433157982,COMPLETE
46,0.4361087362522243,2026-06-12 14:27:51.162631,2026-06-12 14:28:00.477683,0 days 00:00:09.315052,0.9723281861013674,0.017707744547141246,8,21.332210456235984,1.2714125808228915,0.7694105251882264,0.5212015197443293,0.04251488767854845,COMPLETE
47,0.4360967922914304,2026-06-12 14:28:00.477740,2026-06-12 14:28:06.335974,0 days 00:00:05.858234,0.9028718395795415,0.058615333802262734,7,47.31285108767229,0.6292734465420319,0.012389502523945503,0.5592995933969488,0.04371525766584308,COMPLETE
48,0.4371701913658921,2026-06-12 14:28:06.336034,2026-06-12 14:28:14.872360,0 days 00:00:08.536326,0.997098858662546,0.04891585498221177,8,25.811663468746563,9.925462672455065,0.0486785905358461,0.5888199125946467,0.044167958718821225,COMPLETE
49,0.4371003146960719,2026-06-12 14:28:14.872413,2026-06-12 14:28:20.907978,0 days 00:00:06.035565,0.7725963788846987,0.015916756786452473,6,41.82766880108724,0.31766212351722306,0.08656212678210282,0.6426773401418271,0.042813463485849974,COMPLETE
50,0.43609312586711085,2026-06-12 14:28:20.908030,2026-06-12 14:28:31.561176,0 days 00:00:10.653146,0.8468942445950293,0.028816375540593457,7,16.274786522329485,5.315936180336186,0.00767910458331487,0.6077046023411706,0.04329612826143096,COMPLETE
51,0.43592021609036535,2026-06-12 14:28:31.561230,2026-06-12 14:28:39.322864,0 days 00:00:07.761634,0.8828753771376101,0.03375131573921078,9,30.189417291450127,1.1568430081831214,0.02539295467006799,0.5604467782160407,0.04266551068721418,COMPLETE
