,0
Flotation Column 03 Air Flow__mean__slope3h,-1.4300331139627253e-05
Ore Pulp Flow__std,-1.6374063756929846e-05
% Silica Concentrate__lagroll6h_mean,-1.7103678601015914e-05
Flotation Column 04 Level__mean__ewm2h,-1.7964113181823115e-05
Flotation Column 06 Level__std,-1.890746704888979e-05
Ore Pulp Flow__mean__roll6h_mean,-1.983103129071795e-05
Flotation Column 01 Air Flow__mean__ewm2h,-1.9910591165528402e-05
Flotation Column 01 Air Flow__mean__lag3h,-2.0651199111620945e-05
Flotation Column 01 Air Flow__mean,-2.6869994641209872e-05
Flotation Column 05 Air Flow__std,-2.8540356378370378e-05
Flotation Column 02 Air Flow__mean__roll3h_mean,-3.1681861235688394e-05
Starch Flow__mean,-3.347526361062725e-05
Flotation Column 04 Level__std,-4.0991250356270384e-05
Flotation Column 06 Level__mean__diff1h,-4.284335424112884e-05
Ore Pulp Density__mean__roll3h_mean,-4.366999198962551e-05
Flotation Column 05 Air Flow__mean__lag3h,-4.378808788655375e-05
Flotation Column 02 Air Flow__mean,-4.4037883193437376e-05
Ore Pulp Flow__mean__slope3h,-5.0295076285666876e-05
Flotation Column 02 Level__max,-5.579041661556428e-05
Flotation Column 01 Level__mean__lag2h,-5.766088071790243e-05
Starch Flow__min,-6.1027325576401556e-05
Flotation Column 01 Level__mean__slope3h,-6.144426565730665e-05
Flotation Column 06 Air Flow__mean__slope3h,-6.294248348566178e-05
Flotation Column 02 Air Flow__mean__roll6h_mean,-6.328723336331831e-05
Flotation Column 03 Level__max,-7.023521947915334e-05
Flotation Column 03 Level__min,-7.031681813119972e-05
cross_level_min,-7.360824374145203e-05
Flotation Column 01 Air Flow__mean__lag1h,-7.968985341229029e-05
Flotation Column 07 Level__std,-8.206588777218693e-05
Ore Pulp Flow__mean__lag1h,-8.328339260473827e-05
Ore Pulp pH__mean__ewm6h,-8.34556307120371e-05
hour_cos,-8.374066562232274e-05
Flotation Column 03 Air Flow__mean__lag3h,-9.699026398174437e-05
Starch Flow__mean__slope3h,-9.82239242885763e-05
Flotation Column 06 Level__mean__lag1h,-9.879745262323381e-05
Flotation Column 05 Level__mean__ewm2h,-0.00010501526622536117
Flotation Column 05 Level__max,-0.00010833619203483024
Ore Pulp Density__mean__ewm2h,-0.0001142882880977969
Flotation Column 05 Level__mean__lag2h,-0.00011908234103932269
Ore Pulp Flow__mean__ewm2h,-0.00012785927788160344
Flotation Column 07 Air Flow__mean__lag2h,-0.00013418338865068825
Ore Pulp pH__std,-0.00013515982632856806
Flotation Column 03 Level__mean__lag2h,-0.00014290067355751112
Ore Pulp Density__mean__ewm6h,-0.00015524846042188622
Flotation Column 01 Air Flow__max,-0.00016245862792659826
Flotation Column 04 Level__mean__lag1h,-0.00017071586193052602
cross_air_flow_std,-0.00020424024217187143
Amina Flow__mean,-0.00020889757112558805
Amina Flow__std,-0.00023466952479030966
Ore Pulp Density__min,-0.00024248056042794897
Flotation Column 04 Air Flow__std,-0.0002623519062478263
Flotation Column 02 Air Flow__min,-0.00030554579134637325
Amina Flow__max,-0.0003605563882504659
% Silica Concentrate__lag3h,-0.00037788933980292816
Amina Flow__mean__ewm2h,-0.0003807357745324924
